iddesa,Kode Provinsi,Kode Kabupaten,Kode Kecamatan,Kode Desa,Provinsi,Kabupaten,Kecamatan,Desa,Pelayanan_Dasar,Infrastruktur,Aksesbilitas,IKG2020
1302031009,13,2,31,9,Sumatera Barat,Pesisir Selatan,Airpura,Muara Inderapura,31.33,67.54,21.24,36.36
1302031010,13,2,31,10,Sumatera Barat,Pesisir Selatan,Airpura,Lalang Panjang Inderapura,17.32,42.39,21.24,24.14
1302040001,13,2,40,1,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Aie Haji,24.63,11.96,0.00,14.25
1302040002,13,2,40,2,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Punggasan,41.64,30.96,0.00,26.51
1302040003,13,2,40,3,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Punggasan Timur,35.89,59.50,22.80,37.18
1302040004,13,2,40,4,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Padang Xi Punggasan,30.77,52.57,0.00,26.24
1302040005,13,2,40,5,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Lagan Mudik Punggasan,35.76,59.50,25.51,37.94
1302040006,13,2,40,6,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Lagan Hilir Punggasan,32.68,42.06,17.01,29.99
1302040007,13,2,40,7,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Punggasan Utara,47.50,52.57,0.00,34.10
1302040008,13,2,40,8,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Muara Gadang Air Haji,32.55,59.50,17.01,33.83
1302040009,13,2,40,9,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Air Haji Barat,54.31,57.47,17.01,43.60
1302040010,13,2,40,10,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Pasar Bukit Air Haji,49.43,57.47,0.00,36.11
1302040011,13,2,40,11,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Sungai Sirah Air Haji,50.38,51.40,0.00,35.19
1302040012,13,2,40,12,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Rantau Simalenang Air Haji,33.43,55.45,17.01,33.34
1302040013,13,2,40,13,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Air Haji Tengah,48.21,49.01,0.00,33.64
1302040014,13,2,40,14,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Pasar Lama Muara Air Haji,47.31,54.82,17.01,39.72
1302040015,13,2,40,15,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Air Haji Tenggara,33.79,70.86,17.01,36.96
1302040016,13,2,40,16,Sumatera Barat,Pesisir Selatan,Linggo Sari Baganti,Muara Kandis Punggasan,31.27,57.47,17.01,32.78
1302050001,13,2,50,1,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Sungai Tunu,34.56,35.01,0.00,24.08
1302050002,13,2,50,2,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Palangai,31.49,16.58,0.00,18.51
1302050003,13,2,50,3,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Sungai Tunu Barat,32.73,64.16,17.01,34.97
1302050004,13,2,50,4,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Sungai Tunu Utara,37.54,50.77,0.00,29.02
1302050005,13,2,50,5,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Nyiur Melambai Pelangai,36.20,81.85,17.01,40.56
1302050006,13,2,50,6,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Pelangai Kaciak,34.29,60.17,0.00,29.60
1302050007,13,2,50,7,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Pelangai Gadang,35.35,66.81,17.01,36.79
1302050008,13,2,50,8,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Koto Viii Pelangai,45.58,49.01,0.00,32.40
1302050009,13,2,50,9,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Pasia Pelangai,39.54,40.56,0.00,27.67
1302050010,13,2,50,10,Sumatera Barat,Pesisir Selatan,Ranah Pesisir,Sungai Liku Pelangai,38.51,50.54,17.01,34.63
1302060001,13,2,60,1,Sumatera Barat,Pesisir Selatan,Lengayang,Lakitan,27.97,29.20,0.00,19.69
1302060002,13,2,60,2,Sumatera Barat,Pesisir Selatan,Lengayang,Kambang,31.18,40.71,21.24,30.27
1302060003,13,2,60,3,Sumatera Barat,Pesisir Selatan,Lengayang,Lakitan Selatan,49.24,55.08,1.49,35.94
1302060004,13,2,60,4,Sumatera Barat,Pesisir Selatan,Lengayang,Lakitan Tengah,30.99,63.93,22.73,35.85
1302060005,13,2,60,5,Sumatera Barat,Pesisir Selatan,Lengayang,Lakitan Timur,45.42,55.45,22.73,40.73
1302060006,13,2,60,6,Sumatera Barat,Pesisir Selatan,Lengayang,Lakitan Utara,30.60,30.59,1.49,21.69
1302060007,13,2,60,7,Sumatera Barat,Pesisir Selatan,Lengayang,Kambang Barat,27.77,32.57,1.49,20.81
1302060008,13,2,60,8,Sumatera Barat,Pesisir Selatan,Lengayang,Kambang Utara,33.62,65.95,22.73,37.54
1302060009,13,2,60,9,Sumatera Barat,Pesisir Selatan,Lengayang,Kambang Timur,32.06,45.64,22.73,32.25
1302070001,13,2,70,1,Sumatera Barat,Pesisir Selatan,Sutera,Amping Parak,23.19,39.20,1.49,20.14
1302070002,13,2,70,2,Sumatera Barat,Pesisir Selatan,Sutera,Surantih,18.23,25.15,0.00,14.20
1302070003,13,2,70,3,Sumatera Barat,Pesisir Selatan,Sutera,Taratak,27.07,68.84,0.00,28.15
1302070004,13,2,70,4,Sumatera Barat,Pesisir Selatan,Sutera,Amping Parak Timur,31.08,61.91,21.24,34.98
1302070005,13,2,70,5,Sumatera Barat,Pesisir Selatan,Sutera,Aur Duri Surantih,38.28,53.43,21.24,36.46
1302070006,13,2,70,6,Sumatera Barat,Pesisir Selatan,Sutera,Rawang Gunung Malelo Surantih,25.47,53.43,21.24,30.44
1302070007,13,2,70,7,Sumatera Barat,Pesisir Selatan,Sutera,Koto Nan Tigo Selatan Surantih,29.57,66.81,21.24,35.37
1302070008,13,2,70,8,Sumatera Barat,Pesisir Selatan,Sutera,Koto Nan Tigo Utara Surantih,41.21,55.45,21.24,38.29
1302070009,13,2,70,9,Sumatera Barat,Pesisir Selatan,Sutera,Gantiang Mudiak Selatan Surantih,31.87,66.81,21.24,36.45
